var13,offset_rank,flights_rank,solar_rank,ev_rank,pbd_rank,recs_rank,local_rank,bulbs_rank,fridge_rank,trees_rank,recycling_rank,pack_rank,ev_ee,ev_pnb,ev_ne,ev_intent,ev_program_interest,fly_ee,fly_pnb,fly_ne,fly_intent,fly_program_interest,offset_ee,offset_pnb,offset_ne,offset_intent,offset_program_interest,pbd_ee,pbd_pnb,pbd_ne,pbd_intent,pbd_program_interest,recs_ee,recs_pnb,recs_ne,recs_intent,recs_program_interest,solar_ee,solar_pnb,solar_ne,solar_intent,solar_program_interest,foodwaste_ee,foodwaste_pnb,foodwaste_ne,foodwaste_intent,foodwaste_program_interest
6069e4f4-edc1-d7f0-2003-9831eb5f60e0,1,12,5,4,7,6,3,2,10,9,11,8,0.2,1,1,0.8,1,0.6,1,0.9,0.8,0.9,0.1,1,0.9,0.8,0.9,0.8,1,0.8,0.8,0.9,0.9,1,0.9,0.9,0.9,0.1,1,0.9,0.7,0.7,0.3,1,0.7,0.8,0.8
6069e7bd-2159-baf6-756a-45d7386da689,8,11,2,1,12,6,10,3,7,4,5,9,0.1,0,0.1,0.1,0.3,0.3,0,0.1,0.3,0,0.3,0,0.2,0.2,0.2,0.3,0,0.1,0,0.1,0.1,0,0.3,0.3,0.2,0.3,0,0.1,0,0.2,0.2,1,0.1,0.2,0.1
6069e970-d513-5575-5aed-f852fd74d941,10,11,2,7,6,1,5,3,4,9,8,12,0.1,1,0.5,0.6,1,0.3,1,0.4,0.8,1,0.4,1,0.3,0.3,0.5,0.6,1,0.6,0.8,1,0.4,1,0.5,0.5,0.7,0.4,1,0.3,0.4,1,0.5,1,0.3,0.6,1
6069ecc4-9e88-623c-d6c4-f38b6b2be8f9,5,6,11,9,12,4,10,2,1,8,3,7,0,0,0.4,0,0,0.4,1,0.3,1,0,0.5,1,0.5,0,0.4,0.7,0,0.6,0.8,0,0.5,1,0.6,0,0,0.1,0,0.1,0,0,0.8,1,0.8,0.9,0
6069edf4-e9ac-ab97-d165-3f475059b4c4,2,10,1,3,11,9,12,6,4,5,8,7,0.2,1,0.5,0.8,1,0.5,1,0.5,0.7,0.8,0.3,1,0.6,0.7,1,0.5,1,0.6,1,1,0.3,1,0.7,0.6,1,0.2,1,0.8,0.6,1,0.8,1,0.8,0.9,1
6069f209-6572-96ec-47f6-6d30c0e208fe,11,6,2,7,3,4,5,9,10,12,8,1,0.1,1,0.3,0.2,0.3,0.2,1,0.2,0.7,0.6,0.3,1,0.5,0.4,0.3,0.7,1,0.6,0.5,0.7,0.2,1,0.2,0,0,0.1,1,0.1,0.3,0.3,0.5,1,0.5,0.3,0.5
6069f321-eedb-6f9a-837b-d4d74145eb48,12,9,1,10,5,3,4,8,7,11,2,6,0.1,1,0.2,0.4,0.5,0.5,0,0.1,0,0.1,0.1,0,0.1,0,0,0.3,1,0.2,0.4,0.4,0.2,1,0.6,0.3,0.8,0.1,1,0.2,0.2,0.7,0.3,1,0.4,0.4,0.5
6069f482-ef32-ea3e-9f5b-5780c313982a,4,10,5,1,11,7,3,9,8,6,2,12,0.1,0,0.3,0.1,0.4,0.5,1,0.4,0.2,0.3,0.3,0,0.3,0,0.1,0.6,1,0.4,0.7,0.4,0.4,1,0.4,0.4,0.2,0.2,0,0.2,0.1,0.1,0.6,1,0.4,1,0.6
6069f7c5-c0c0-56a4-335e-5af6f9210391,3,10,4,2,6,8,7,12,11,5,1,9,0.2,1,0.8,0.6,0.3,0.3,1,0.5,0.6,0.3,0.1,1,0.1,0.3,0.2,0.4,1,0.5,0.7,0.5,0.3,1,0.3,0.5,0.4,0.1,1,0.3,0.1,0.1,0.3,1,0.4,1,0.4
6069f867-cc4a-48c3-494d-568f4ac458b9,7,1,5,9,11,3,10,6,2,4,8,12,0.1,0,0.1,0.2,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.2,0.2,0,0.1,0,0,0,0,0,0,0
